path,score
val/50-9  20X.jpg,7.0
val/7-7   20X.jpg,4.0
val/10-7  20X.jpg,9.0
val/15-7 20X.jpg,7.0
val/42-7 20X.jpg,6.0
val/51-8  20X.jpg,8.0
val/22-9   20X.jpg,7.0
val/16-8 20X.jpg,9.0
val/48-8  20X.jpg,8.0
val/57-9   20X.jpg,8.0
val/45-7  20X.jpg,2.0
val/53-9   20X.jpg,8.0
val/56-8  20X.jpg,9.0
val/23-7 20X.jpg,4.0
val/39-9  20X.jpg,4.0
val/2-8 20X.jpg,4.0
val/18-8  20X.jpg,8.0
val/51-9   20X.jpg,9.0
val/42-8 20X.jpg,6.0
val/13-9   20X.jpg,8.0
train/25-9    20X.jpg,9.0
train/59-7  20X.jpg,8.0
train/46-7 20X.jpg,6.0
train/49-7  20X.jpg,7.0
train/27-8  20X.jpg,3.0
train/60-8  20X.jpg,1.0
train/6-7  20X.jpg,7.0
train/5-8  20X.jpg,9.0
train/21-9   20X.jpg,7.0
train/19-9  20X.jpg,5.0
train/14-9    20X.jpg,10.0
train/6-9    20X.jpg,7.0
train/45-8  20X.jpg,9.0
train/24-9   20X.jpg,6.0
train/58-7  20X.jpg,4.0
train/10-8  20X.jpg,9.0
train/22-8  20X.jpg,8.0
train/18-9   20X.jpg,6.0
train/8-9   20X.jpg,5.0
train/46-9  20X.jpg,4.0
train/9-9   20X.jpg,5.0
train/23-8  20X.jpg,5.0
train/50-7 20X.jpg,9.0
train/23-9  20X.jpg,5.0
train/8-7 20X.jpg,5.0
train/13-8   20X.jpg,8.0
train/14-8   20X.jpg,10.0
train/5-7 20X.jpg,8.0
train/50-8  20X.jpg,2.0
train/6-8  20X.jpg,8.0
train/3-7  20X.jpg,3.0
train/22-7 20X.jpg,6.0
train/17-9   20X.jpg,7.0
train/10-9   20X.jpg,9.0
train/21-7  20X.jpg,7.0
train/1-9 20X.jpg,6.0
train/20-9   20X.jpg,8.0
train/49-8  20X.jpg,7.0
train/9-8  20X.jpg,5.0
train/5-9  20X.jpg,8.0
train/58-9   20X.jpg,4.0
train/32-7 20X.jpg,5.0
train/57-8  20X.jpg,8.0
train/52-8   20X.jpg,3.0
train/54-8   20X.jpg,1.0
train/39-7  20X.jpg,4.0
train/11-9   20X.jpg,7.0
train/60-7  20X.jpg,1.0
train/12-8  20X.jpg,6.0
train/33-9  20X.jpg,7.0
train/45-9    20X.jpg,9.0
train/15-9   20X.jpg,7.0
train/39-8   20X.jpg,5.0
train/33-8  20X.jpg,7.0
train/53-7  20X.jpg,1.0
train/47-7  20X.jpg,5.0
train/56-9   20X.jpg,9.0
train/46-8  20X.jpg,6.0
train/21-8  20X.jpg,8.0
train/47-8  20X.jpg,8.0
train/59-9   20X.jpg,3.0
train/42-9   20X.jpg,6.0
train/52-7  20X.jpg,3.0
train/52-9   20X.jpg,8.0
train/20-8 20X.jpg,6.0
train/17-7 20X.jpg,7.0
train/15-8  20X.jpg,5.0
train/59-8  20X.jpg,3.0
train/48-7  20X.jpg,8.0
train/4-9    20X.jpg,7.0
train/49-9  20X.jpg,6.0
train/27-7 20X.jpg,4.0
train/20-7  20X.jpg,7.0
train/3-8 20X.jpg,3.0
train/2-7 20X.jpg,5.0
train/7-9   20X.jpg,3.0
train/1-7  20X.jpg,6.0
train/7-8 20X.jpg,4.0
train/54-7 20X.jpg,1.0
train/11-8 20X.jpg,7.0
train/25-7 20X.jpg,9.0
train/8-8 20X.jpg,5.0
train/32-8 20X.jpg,4.0
train/32-9  20X.jpg,4.0
train/25-8  20X.jpg,9.0
train/16-7 20X.jpg,9.0
train/19-7  20X.jpg,6.0
train/51-7 20X.jpg,8.0
train/12-9   20X.jpg,6.0
train/1-8 20X.jpg,6.0
train/54-9   20X.jpg,2.0
train/4-7 20X.jpg,6.0
train/47-9   20X.jpg,7.0
train/11-7  20X.jpg,8.0
train/13-7  20X.jpg,7.0
train/4-8 20X.jpg,6.0
train/55-8   20X.jpg,7.0
train/55-9  20X.jpg,7.0
train/9-7 20X.jpg,4.0
train/27-9  20X.jpg,5.0
train/12-7  20X.jpg,7.0
train/58-8  20X.jpg,5.0
train/56-7 20X.jpg,9.0
train/19-8 20X.jpg,6.0
train/3-9   20X.jpg,4.0
train/60-9  20X.jpg,1.0
train/16-9   20X.jpg,7.0
train/55-7  20X.jpg,7.0
train/2-9   20X.jpg,5.0
train/57-7 20X.jpg,8.0
train/24-7 20X.jpg,7.0
train/24-8   20X.jpg,8.0
train/33-7 20X.jpg,7.0
train/18-7  20X.jpg,7.0
train/48-9  20X.jpg,9.0
train/53-8   20X.jpg,3.0
train/14-7  20X.jpg,8.0
train/17-8 20X.jpg,7.0
