epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5793,1.18942,21.1521,0.68516,1.18463,1.83131,1,0.99984,0.995,0.8463,0.07372,0.07407,0.0101,0.00238,0.69276,21.9846,0.57752,0.60828,2.00171,0.000637681,0.000637681,0.000637681
2,21.421,0.56703,19.7225,0.65829,0.42367,1.39462,0.93555,0.7037,0.82979,0.62184,0.07229,0.44444,0.04345,0.00974,1.27628,21.8004,0.58558,1.08261,2.83186,0.00129359,0.00129359,0.00129359
3,29.0417,0.59966,18.8362,0.664,0.47875,1.39367,0.73991,0.96296,0.97149,0.62071,0.11224,0.18519,0.03116,0.00513,0.97804,20.8677,1.27423,5.46172,4.12322,0.00193849,0.00193849,0.00193849
4,36.7118,0.4597,17.7679,0.66255,0.39063,1.29935,0.97197,0.7037,0.82637,0.56121,0.13893,0.14815,0.04882,0.01013,1.13149,21.2885,0.65708,0.92315,1.90982,0.0019505,0.0019505,0.0019505
5,44.3256,0.43845,16.7276,0.55864,0.38551,1.22677,0.88498,0.77778,0.93895,0.63074,0.20305,0.2963,0.14088,0.03401,1.12909,20.164,0.72262,1.42685,3.53032,0.001934,0.001934,0.001934
6,52.0848,0.38293,15.8144,0.49997,0.37036,1.17685,0.85818,0.92593,0.97841,0.8469,0.283,0.55556,0.20426,0.04813,0.64438,22.2081,0.53854,1.5802,1.53518,0.0019175,0.0019175,0.0019175
7,59.9042,0.31456,15.1818,0.4219,0.31613,1.10905,0.97897,0.92593,0.98699,0.92626,0.17401,0.25926,0.10753,0.02834,0.48628,18.1924,0.33528,0.84182,1.13483,0.001901,0.001901,0.001901
8,67.6841,0.291,14.4458,0.3672,0.28214,1.08183,0.67009,0.96296,0.8835,0.71989,0.09799,0.25926,0.05264,0.00878,0.76595,18.4211,0.28385,2.42759,1.58966,0.0018845,0.0018845,0.0018845
9,75.3577,0.2632,13.1929,0.32445,0.26024,1.05856,0.84332,0.96296,0.97808,0.91103,0.12608,0.33333,0.04868,0.00627,0.516,18.2001,0.18281,1.44374,1.11902,0.001868,0.001868,0.001868
10,83.0413,0.21801,12.4132,0.26043,0.24289,1.0287,0.93708,0.96296,0.98385,0.9169,0.53059,0.55556,0.44372,0.12018,0.47403,13.7335,0.22384,1.14569,1.00584,0.0018515,0.0018515,0.0018515
11,90.8176,0.24347,12.1499,0.22003,0.22002,1.02633,0.71556,0.96296,0.95017,0.78439,0.24096,0.59259,0.19283,0.04516,0.88382,15.7607,0.11721,1.99833,1.553,0.001835,0.001835,0.001835
12,98.5131,0.19216,11.0583,0.19515,0.216,0.98211,0.72702,0.96296,0.90922,0.63599,0.47751,0.62963,0.38897,0.13998,0.78957,14.5142,0.20394,1.29336,1.45792,0.0018185,0.0018185,0.0018185
13,106.219,0.20218,10.5659,0.17052,0.21612,0.99466,0.96253,0.95179,0.9925,0.84519,0.73505,0.71959,0.60412,0.24386,0.72477,11.5506,0.11099,0.89753,1.21462,0.001802,0.001802,0.001802
14,113.878,0.21142,10.7008,0.1567,0.23169,1.00338,0.72425,0.97295,0.86482,0.78492,0.49635,0.66667,0.38446,0.17195,0.53407,12.0051,0.11721,0.96653,1.14656,0.0017855,0.0017855,0.0017855
15,121.305,0.18039,9.8366,0.13464,0.21059,0.98473,0.7346,0.77778,0.89063,0.77873,0.4276,0.66667,0.38344,0.14562,0.63038,12.3474,0.08913,1.00564,1.20822,0.001769,0.001769,0.001769
16,129.826,0.17422,9.53935,0.13319,0.16995,0.98961,0.91318,0.92593,0.95932,0.78324,0.47838,0.44444,0.31644,0.09742,0.50783,16.9503,0.11934,0.73866,1.09933,0.0017525,0.0017525,0.0017525
17,140.512,0.15074,8.95591,0.10916,0.15577,0.96462,0.85927,0.67881,0.76932,0.56788,0.67164,0.53066,0.50679,0.21386,0.89626,10.1001,0.13984,1.75794,1.47305,0.001736,0.001736,0.001736
18,149.732,0.15818,8.85696,0.10035,0.16116,0.99319,0.91836,0.83366,0.88992,0.61367,0.72785,0.62963,0.66708,0.37258,1.06298,9.19862,0.1689,1.3778,1.55971,0.0017195,0.0017195,0.0017195
19,157.82,0.21468,8.63842,0.10279,0.22099,1.04381,0.71247,0.77778,0.81081,0.67557,0.65937,0.55556,0.57426,0.26146,0.60146,9.50326,0.10436,0.97807,1.16201,0.001703,0.001703,0.001703
20,165.957,0.19285,9.04955,0.10338,0.18604,0.99541,0.98654,0.85185,0.90082,0.83377,0.90447,0.77778,0.79315,0.42695,0.52811,8.87856,0.09665,0.86527,1.09346,0.0016865,0.0016865,0.0016865
21,174.033,0.16988,8.53205,0.08974,0.18396,0.9744,0.91951,0.92593,0.96715,0.91715,0.80458,0.81481,0.77337,0.43396,0.38561,7.75553,0.06482,0.77235,0.96343,0.00167,0.00167,0.00167
22,182.208,0.15406,8.09712,0.0914,0.15593,0.9601,0.95121,1,0.9925,0.86816,0.73834,0.77778,0.63774,0.25226,0.46989,9.1126,0.0972,0.58258,1.04787,0.0016535,0.0016535,0.0016535
23,190.261,0.15093,7.99593,0.07884,0.14915,0.96215,0.98297,0.96296,0.98384,0.91439,0.84702,0.85185,0.79727,0.36664,0.35789,8.05406,0.06005,0.48635,0.88645,0.001637,0.001637,0.001637
24,198.52,0.16812,7.29595,0.09186,0.16459,0.97709,0.99373,1,0.995,0.88849,0.91999,0.92593,0.8813,0.42935,0.42942,7.20629,0.05306,0.49748,0.9854,0.0016205,0.0016205,0.0016205
25,206.437,0.17997,7.24323,0.07259,0.17618,0.99404,0.80586,0.92593,0.92185,0.76308,0.70034,0.77778,0.71608,0.37038,0.63221,8.5206,0.0535,1.11129,1.20184,0.001604,0.001604,0.001604
26,213.864,0.20626,7.1516,0.06974,0.20221,1.02712,0.85963,0.74074,0.89225,0.65916,0.77413,0.59259,0.69944,0.35722,0.93083,8.89391,0.08989,1.24063,1.61442,0.0015875,0.0015875,0.0015875
27,221.359,0.19498,7.25641,0.09716,0.20231,1.00862,0.9284,0.96061,0.97943,0.8622,0.72407,0.77778,0.64757,0.41783,0.60527,8.12181,0.04657,0.7685,1.23573,0.001571,0.001571,0.001571
28,229.11,0.17569,6.78118,0.08105,0.17246,0.98978,0.9995,0.88889,0.97196,0.86512,0.86947,0.74074,0.78366,0.43943,0.50453,7.55892,0.05666,0.54843,1.10557,0.0015545,0.0015545,0.0015545
29,236.703,0.19117,6.53406,0.0802,0.17122,0.9861,0.91173,0.76551,0.90628,0.73863,0.85638,0.66271,0.71412,0.34491,0.67538,7.94722,0.07153,0.84317,1.3654,0.001538,0.001538,0.001538
30,244.644,0.17174,6.50277,0.09547,0.16352,0.98301,0.9578,0.96296,0.99031,0.94019,0.8422,0.85185,0.87784,0.42548,0.40044,7.11765,0.06157,0.50503,1.00692,0.0015215,0.0015215,0.0015215
31,252.461,0.14802,5.99115,0.07049,0.15228,0.95792,0.98935,1,0.995,0.91046,0.88343,0.88889,0.83127,0.47531,0.43156,6.38993,0.04833,0.41549,1.0037,0.001505,0.001505,0.001505
32,260.195,0.14892,5.7544,0.08811,0.15927,0.95911,0.95228,0.96296,0.98904,0.92288,0.87877,0.88889,0.8854,0.51479,0.38872,6.19272,0.04613,0.3908,0.96081,0.0014885,0.0014885,0.0014885
33,267.8,0.15543,5.73418,0.08483,0.1496,0.95818,0.9392,0.96296,0.97923,0.89302,0.75918,0.85185,0.69251,0.40169,0.36695,8.4909,0.03651,0.50761,0.93404,0.001472,0.001472,0.001472
34,275.548,0.15147,5.83212,0.07729,0.16103,0.95424,0.8779,0.96296,0.91883,0.85494,0.58997,0.7037,0.55724,0.19074,0.39149,13.3951,0.05471,0.58868,0.97259,0.0014555,0.0014555,0.0014555
35,283.796,0.13179,5.72848,0.07542,0.15194,0.94367,0.88982,0.96296,0.95623,0.8987,0.43765,0.44444,0.33535,0.13282,0.41915,15.2127,0.06087,0.53485,1.00712,0.001439,0.001439,0.001439
