filename,sample_id,view_id,score,raw,coverage,gap_ratio,break_count,row_jitter,rule_hint,backend
1-7  20X.jpg,1,7,7,6.8923,0.9,0.1,6,39.4443,上下衔接较连续 (中高分),cnn
1-8 20X.jpg,1,8,7,6.9589,0.9625,0.0375,1,36.1287,上下衔接较连续 (中高分),cnn
1-9 20X.jpg,1,9,8,7.5672,0.985,0.015,0,37.6779,上下衔接较连续 (中高分),cnn
10-7  20X.jpg,10,7,9,8.8226,0.9637,0.0363,1,31.2581,上下衔接的小区域紧凑衔接 (高分),cnn
10-8  20X.jpg,10,8,8,7.8512,0.9463,0.0537,3,41.4973,上下衔接较连续 (中高分),cnn
10-9   20X.jpg,10,9,8,7.567,0.955,0.045,1,44.8813,上下衔接较连续 (中高分),cnn
11-7  20X.jpg,11,7,8,8.1948,0.9263,0.0737,2,34.5735,上下衔接较连续 (中高分),cnn
11-8 20X.jpg,11,8,6,6.1072,0.9087,0.0913,4,41.6677,上下衔接的小区域排列散乱，即将断开 (中分),cnn
11-9   20X.jpg,11,9,7,6.9131,0.9375,0.0625,3,36.163,上下衔接较连续 (中高分),cnn
12-7  20X.jpg,12,7,8,8.4563,0.9613,0.0387,1,39.6673,上下衔接较连续 (中高分),cnn
12-8  20X.jpg,12,8,7,6.8932,0.975,0.025,1,38.3133,上下衔接较连续 (中高分),cnn
12-9   20X.jpg,12,9,8,7.5595,0.9663,0.0337,1,42.3317,上下衔接较连续 (中高分),cnn
13-7  20X.jpg,13,7,9,8.9305,0.9975,0.0025,0,40.597,上下衔接的小区域紧凑衔接 (高分),cnn
13-8   20X.jpg,13,8,9,9.4605,0.9225,0.0775,2,40.1674,上下衔接的小区域紧凑衔接 (高分),cnn
13-9   20X.jpg,13,9,8,8.4849,0.9513,0.0487,2,40.2847,上下衔接较连续 (中高分),cnn
14-7  20X.jpg,14,7,8,7.8473,0.895,0.105,3,43.8902,上下衔接较连续 (中高分),cnn
14-8   20X.jpg,14,8,9,8.8347,0.9425,0.0575,3,43.2764,上下衔接的小区域紧凑衔接 (高分),cnn
