                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.216,                 4.3083,                 4.0188,                 3.9881,                0.00152,                0.39344,                0.00424,                0.00124,                 0.0001,                0.02459,                  6e-05,                  1e-05,                 2.7452,                  5.261,                 3.9504,                 4.0081,             0.00055167,             0.00055167,             0.00055167
                      2,                 2.6642,                 3.3053,                 3.2538,                 3.3352,                0.26955,                0.13205,                0.21865,                0.07132,                0.03971,                0.51184,                0.11631,                0.04107,                 2.4178,                 3.6762,                  2.468,                 3.0652,             0.00099771,             0.00099771,             0.00099771
                      3,                 2.2965,                 2.8401,                 2.4111,                 2.9306,                0.30475,                0.40995,                0.28142,                 0.0989,                0.19854,                0.25323,                0.16561,                 0.0541,                 2.2395,                 6.4265,                 2.4282,                 3.0985,              0.0013337,              0.0013337,              0.0013337
                      4,                 2.1762,                 2.6345,                 2.1334,                 2.6638,                0.58984,                 0.6924,                0.61243,                0.30051,                0.37554,                0.43815,                0.33414,                0.16354,                 1.8517,                 3.8028,                 2.6929,                 2.4877,              0.0011719,              0.0011719,              0.0011719
                      5,                 2.0377,                 2.5824,                 1.9936,                 2.5404,                0.65806,                0.79783,                0.73252,                0.39073,                 0.6486,                0.65352,                0.62284,                0.26782,                  1.762,                 2.2707,                 1.8253,                 2.3313,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.8509,                 2.4719,                 1.8064,                 2.3889,                0.72395,                0.82039,                0.78513,                0.42753,                0.69308,                0.78011,                0.73413,                0.33065,                 1.7626,                 2.1383,                 1.6281,                  2.342,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.7624,                 2.4242,                 1.6951,                 2.2687,                0.77179,                0.81678,                0.78596,                0.45871,                0.73804,                0.80038,                0.74819,                0.34323,                 1.5878,                 2.1177,                 1.4624,                 2.1335,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.6837,                 2.3773,                 1.6189,                 2.2252,                0.76376,                0.81688,                0.82725,                0.49851,                0.74938,                0.80388,                0.79926,                0.36547,                 1.5175,                 2.0692,                 1.3675,                 2.1555,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.6092,                 2.3276,                 1.5562,                 2.1436,                0.71952,                0.88299,                0.80301,                0.50739,                0.72968,                0.83523,                0.76674,                 0.3824,                 1.4152,                  1.991,                 1.3017,                 2.0068,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.5907,                  2.284,                 1.5308,                 2.1214,                0.74256,                0.87709,                0.81338,                0.49989,                0.74874,                0.81074,                0.77775,                0.37061,                 1.4345,                 1.9784,                 1.2861,                 2.0231,              0.0001817,              0.0001817,              0.0001817
                      1,                 1.7704,                 2.4471,                 2.2745,                 2.0547,                0.56638,                0.71522,                0.59222,                0.39046,                0.60933,                0.60507,                0.57935,                0.30127,                 1.4075,                 1.8595,                 1.4589,                 1.8522,             0.00055167,             0.00055167,             0.00055167
