image,sample,n_vessel,n_pair,um_per_px,scale_method,status,error,review_png
41 (1).tif,41,4,1,0.217391,green_bar,ok,,41_(01)_左原图_右自动.png
41 (2).tif,41,3,0,0.217391,green_bar,ok,,41_(02)_左原图_右自动.png
41 (3).tif,41,2,0,0.217391,green_bar,ok,,41_(03)_左原图_右自动.png
41 (4).tif,41,6,1,0.217391,green_bar,ok,,41_(04)_左原图_右自动.png
41 (5).tif,41,6,1,0.217391,green_bar,ok,,41_(05)_左原图_右自动.png
41 (6).tif,41,4,0,0.217391,green_bar,ok,,41_(06)_左原图_右自动.png
41 (7).tif,41,3,1,0.217391,green_bar,ok,,41_(07)_左原图_右自动.png
41 (8).tif,41,1,0,0.217391,green_bar,ok,,41_(08)_左原图_右自动.png
42 (1).tif,42,7,1,0.217391,green_bar,ok,,42_(01)_左原图_右自动.png
42 (2).tif,42,5,1,0.217391,green_bar,ok,,42_(02)_左原图_右自动.png
42 (3).tif,42,4,1,0.217391,green_bar,ok,,42_(03)_左原图_右自动.png
42 (4).tif,42,2,0,0.217391,green_bar,ok,,42_(04)_左原图_右自动.png
42 (5).tif,42,4,1,0.217391,green_bar,ok,,42_(05)_左原图_右自动.png
42 (6).tif,42,5,1,0.217391,green_bar,ok,,42_(06)_左原图_右自动.png
42 (7).tif,42,3,1,0.217391,green_bar,ok,,42_(07)_左原图_右自动.png
42 (8).tif,42,4,1,0.217391,green_bar,ok,,42_(08)_左原图_右自动.png
43 (1).tif,43,4,0,0.217391,green_bar,ok,,43_(01)_左原图_右自动.png
43 (2).tif,43,1,0,0.217391,green_bar,ok,,43_(02)_左原图_右自动.png
43 (3).tif,43,4,1,0.217391,green_bar,ok,,43_(03)_左原图_右自动.png
43 (4).tif,43,4,1,0.217391,green_bar,ok,,43_(04)_左原图_右自动.png
43 (5).tif,43,2,1,0.217391,green_bar,ok,,43_(05)_左原图_右自动.png
43 (6).tif,43,3,0,0.217391,green_bar,ok,,43_(06)_左原图_右自动.png
43 (7).tif,43,1,0,0.217391,green_bar,ok,,43_(07)_左原图_右自动.png
