filename,n_labeled,min_um2,min_robust_um2,median_um2,max_um2
1-4   10X.jpg,61,68.16,248.52,699.11,1935.41
1-5 10X.jpg,44,101.3,208.7,669.51,1417.84
1-6  10X.jpg,50,112.67,128.81,602.11,1738.77
10-4 10X.jpg,60,50.43,231.55,587.31,1186.85
10-5 10X.jpg,60,72.99,278.95,523.51,1321.84
10-6 10X.jpg,52,91.67,237.15,591.61,1432.83
11-4  10X.jpg,55,115.64,262.69,741.76,1714.64
11-5  10X.jpg,55,94.94,233.7,642.0,1589.72
11-6 10X.jpg,62,92.08,208.02,731.76,1461.47
12-4  10X.jpg,43,87.31,186.1,605.59,1724.07
12-5 10X.jpg,38,43.12,205.87,734.44,1531.48
12-6    10X.jpg,61,78.26,149.02,509.15,1381.17
13-4 10X.jpg,47,86.13,86.13,341.34,765.03
13-5 10X.jpg,44,186.81,186.81,308.85,809.07
13-6  10X.jpg,59,75.85,332.06,918.56,1781.42
14-4  10X.jpg,59,98.74,289.47,730.72,1281.28
14-5  10X.jpg,60,265.08,265.08,721.29,2337.76
14-6   10X.jpg,59,77.15,173.08,778.0,1373.24
15-4  10X.jpg,45,39.32,135.91,573.19,964.81
15-5 10X.jpg,43,35.94,216.3,625.82,1387.68
2-4 10X.jpg,53,111.14,318.36,792.69,1538.91
2-5 10X.jpg,50,77.23,138.94,610.21,1474.13
2-6 10X.jpg,60,68.01,214.85,708.68,1696.76
3-4  10X.jpg,34,58.23,276.56,712.72,1421.96
3-5 10X.jpg,32,84.39,298.04,675.24,1648.57
3-6 10X.jpg,39,76.29,310.41,791.49,1370.8
4-4 10X.jpg,71,48.99,202.63,464.46,1533.57
4-5 10X.jpg,60,75.55,229.17,546.46,1182.1
4-6 10X.jpg,49,36.7,165.25,430.12,1565.21
48-4   10X.jpg,65,107.19,107.19,478.13,2025.96
5-4  10X.jpg,80,28.19,169.73,550.62,1334.75
5-5 10X.jpg,65,27.13,199.86,540.31,1017.09
5-6 10X.jpg,67,8.48,155.09,602.52,1113.94
6-4  10X.jpg,37,99.09,147.72,532.07,1157.77
6-5 10X.jpg,44,48.6,259.66,555.41,1192.03
6-6 10X.jpg,34,176.24,176.24,477.01,1306.64
7-4  10X.jpg,54,27.16,257.8,813.52,1625.24
7-5 10X.jpg,43,71.64,446.44,950.76,1415.28
7-6 10X.jpg,50,54.91,323.43,873.4,2099.19
8-4 10X.jpg,57,67.07,274.06,849.87,1494.54
8-5 10X.jpg,62,62.48,347.35,889.25,2077.42
8-6  10X.jpg,63,176.15,176.15,850.22,1623.89
9-4 10X.jpg,51,83.3,228.87,785.42,1564.56
9-5 10X.jpg,67,51.43,154.56,747.04,1761.42
9-6 10X.jpg,34,155.09,155.09,310.82,1519.32
