filename,sample_id,view_id,score,raw,coverage,gap_ratio,break_count,row_jitter,rule_hint,backend
1-7  20X.jpg,1,7,7,7.3642,0.895,0.105,3,50.9443,上下衔接较连续 (中高分),cnn
1-8 20X.jpg,1,8,7,6.6835,0.965,0.035,2,50.1447,上下衔接较连续 (中高分),cnn
1-9 20X.jpg,1,9,7,7.2448,0.9888,0.0112,0,60.0257,上下衔接较连续 (中高分),cnn
10-7  20X.jpg,10,7,8,8.3379,0.9688,0.0312,1,47.7101,上下衔接较连续 (中高分),cnn
10-8  20X.jpg,10,8,7,7.0161,0.95,0.05,3,52.5813,上下衔接较连续 (中高分),cnn
10-9   20X.jpg,10,9,7,7.1706,0.9537,0.0463,2,62.3556,上下衔接较连续 (中高分),cnn
11-7  20X.jpg,11,7,7,7.384,0.9187,0.0813,1,49.8652,上下衔接较连续 (中高分),cnn
11-8 20X.jpg,11,8,6,6.3211,0.9025,0.0975,4,58.087,上下衔接的小区域排列散乱，即将断开 (中分),cnn
11-9   20X.jpg,11,9,8,8.2066,0.945,0.055,2,50.3842,上下衔接较连续 (中高分),cnn
12-7  20X.jpg,12,7,7,7.2641,0.97,0.03,1,50.5578,上下衔接较连续 (中高分),cnn
12-8  20X.jpg,12,8,8,7.6753,0.9888,0.0112,0,49.4356,上下衔接较连续 (中高分),cnn
12-9   20X.jpg,12,9,8,7.7707,0.9688,0.0312,1,47.8304,上下衔接较连续 (中高分),cnn
13-7  20X.jpg,13,7,9,8.8289,0.965,0.035,1,52.6441,上下衔接的小区域紧凑衔接 (高分),cnn
13-8   20X.jpg,13,8,9,8.8629,0.9313,0.0687,2,50.1172,上下衔接的小区域紧凑衔接 (高分),cnn
13-9   20X.jpg,13,9,10,9.573,0.955,0.045,2,53.7094,上下衔接的小区域紧凑衔接 (高分),cnn
14-7  20X.jpg,14,7,7,6.7782,0.9163,0.0837,3,68.4002,上下衔接较连续 (中高分),cnn
14-8   20X.jpg,14,8,7,7.2646,0.9463,0.0537,2,63.7085,上下衔接较连续 (中高分),cnn
14-9    20X.jpg,14,9,8,8.4247,0.8962,0.1038,4,58.2497,上下衔接较连续 (中高分),cnn
15-7 20X.jpg,15,7,6,6.4099,0.925,0.075,2,60.7938,上下衔接的小区域排列散乱，即将断开 (中分),cnn
15-8  20X.jpg,15,8,7,6.8275,0.9563,0.0437,1,58.0623,上下衔接较连续 (中高分),cnn
15-9   20X.jpg,15,9,7,6.7021,0.9237,0.0763,3,51.7195,上下衔接较连续 (中高分),cnn
16-7 20X.jpg,16,7,6,5.9926,0.98,0.02,0,56.3337,上下衔接的小区域排列散乱，即将断开 (中分),cnn
16-8 20X.jpg,16,8,7,7.3722,0.965,0.035,1,65.4099,上下衔接较连续 (中高分),cnn
16-9   20X.jpg,16,9,5,5.265,0.925,0.075,3,48.2658,上下衔接的小区域排列散乱，即将断开 (中分),cnn
17-7 20X.jpg,17,7,7,7.2636,0.815,0.185,5,52.9729,上下衔接较连续 (中高分),cnn
17-8 20X.jpg,17,8,8,7.6015,0.9163,0.0837,5,54.292,上下衔接较连续 (中高分),cnn
17-9   20X.jpg,17,9,7,7.0802,0.96,0.04,2,60.2427,上下衔接较连续 (中高分),cnn
18-7  20X.jpg,18,7,7,7.4747,0.92,0.08,2,61.0263,上下衔接较连续 (中高分),cnn
18-8  20X.jpg,18,8,7,6.6762,0.9613,0.0387,2,53.1991,上下衔接较连续 (中高分),cnn
18-9   20X.jpg,18,9,7,6.9153,0.8775,0.1225,4,63.0251,上下衔接较连续 (中高分),cnn
19-7  20X.jpg,19,7,6,6.3182,0.9187,0.0813,2,47.2361,上下衔接的小区域排列散乱，即将断开 (中分),cnn
19-8 20X.jpg,19,8,8,7.6956,0.8325,0.1675,4,47.203,上下衔接较连续 (中高分),cnn
19-9  20X.jpg,19,9,7,6.5198,0.9287,0.0713,2,49.8464,上下衔接较连续 (中高分),cnn
2-7 20X.jpg,2,7,7,6.6905,0.9,0.1,4,64.035,上下衔接较连续 (中高分),cnn
2-8 20X.jpg,2,8,7,6.5716,0.9287,0.0713,3,62.4912,上下衔接较连续 (中高分),cnn
2-9   20X.jpg,2,9,7,6.7794,0.9812,0.0188,1,62.7298,上下衔接较连续 (中高分),cnn
20-7  20X.jpg,20,7,8,7.926,0.9875,0.0125,0,61.6164,上下衔接较连续 (中高分),cnn
20-8 20X.jpg,20,8,7,6.6328,0.9225,0.0775,2,61.208,上下衔接较连续 (中高分),cnn
20-9   20X.jpg,20,9,7,6.9348,0.955,0.045,1,64.095,上下衔接较连续 (中高分),cnn
21-7  20X.jpg,21,7,6,6.3042,0.955,0.045,1,58.0164,上下衔接的小区域排列散乱，即将断开 (中分),cnn
21-8  20X.jpg,21,8,7,6.695,0.925,0.075,3,59.8809,上下衔接较连续 (中高分),cnn
21-9   20X.jpg,21,9,7,6.7433,0.9263,0.0737,3,60.1609,上下衔接较连续 (中高分),cnn
22-7 20X.jpg,22,7,8,7.5936,0.9038,0.0962,4,63.7592,上下衔接较连续 (中高分),cnn
22-8  20X.jpg,22,8,7,7.0927,0.9587,0.0413,2,53.4822,上下衔接较连续 (中高分),cnn
22-9   20X.jpg,22,9,7,7.3485,0.9825,0.0175,0,58.4185,上下衔接较连续 (中高分),cnn
23-7 20X.jpg,23,7,7,6.9952,0.9275,0.0725,4,47.7614,上下衔接较连续 (中高分),cnn
23-8  20X.jpg,23,8,7,6.5948,0.9825,0.0175,0,49.8783,上下衔接较连续 (中高分),cnn
23-9  20X.jpg,23,9,7,7.0311,0.9325,0.0675,3,46.4665,上下衔接较连续 (中高分),cnn
24-7 20X.jpg,24,7,7,6.5374,0.94,0.06,2,58.1295,上下衔接较连续 (中高分),cnn
24-8   20X.jpg,24,8,7,6.9554,0.935,0.065,4,59.9759,上下衔接较连续 (中高分),cnn
24-9   20X.jpg,24,9,6,6.4366,0.965,0.035,1,56.6481,上下衔接的小区域排列散乱，即将断开 (中分),cnn
25-7 20X.jpg,25,7,7,6.6989,0.9337,0.0663,3,55.2975,上下衔接较连续 (中高分),cnn
25-8  20X.jpg,25,8,7,7.1141,0.9275,0.0725,3,36.2401,上下衔接较连续 (中高分),cnn
25-9    20X.jpg,25,9,9,8.5491,0.9375,0.0625,2,53.0412,上下衔接的小区域紧凑衔接 (高分),cnn
26-7 20X.jpg,26,7,7,7.0067,0.9087,0.0913,3,57.6734,上下衔接较连续 (中高分),cnn
26-8   20X.jpg,26,8,7,6.8041,0.8888,0.1112,2,46.2347,上下衔接较连续 (中高分),cnn
26-9     20X.jpg,26,9,6,5.6826,0.9263,0.0737,4,56.563,上下衔接的小区域排列散乱，即将断开 (中分),cnn
27-7 20X.jpg,27,7,7,6.6576,0.9325,0.0675,3,48.3262,上下衔接较连续 (中高分),cnn
27-8  20X.jpg,27,8,7,7.3255,0.905,0.095,3,40.7666,上下衔接较连续 (中高分),cnn
